id,Week,Factory,Order,Grade,Product,Color,Substance,EndUser,Status,sqft,Sides,W,B,M,S,Balance,WP or NWP,V or T,ETD,RT Date
1,9,SSC,P262961,BR II,Muddy River,Seal brown,1.68,WWW / Merrell,NR,11854,250,,5,,,11854,WP,T,4-Mar,9-Apr
2,10,GCT,P263288,BR I,Maldova,Belgian,1.46,WWW / CAT,Buff/NR,24418,240,1,,,,24418,NWP,V,8-Mar,
3,10,GCT,P263436,BR I,Maldova,Barley,1.46,WWW / CAT,NR,9960,240,1,,,,9960,NWP,V,9-Mar,
4,9,DN,P262892,C,Iceberg WP,Forge Grey,2.02,Danner / Lacrosse,NR,5000,200,1,,,,5000,WP,V,13-Mar,
5,9,GLV,P262680,BR II,Muddy River WP,Dark Chocolate,1.82,HH Brown / Chippewa,NR,9750,240,,5,,,9750,WP,T,15-Mar,
6,11,GCT,P264195,CV,Muddy River WP 83,Real Brown,1.82,WWW / CAT,NR/Retan/2Retan/RTR,19918,260,,6,,,19918,WP,T,15-Mar,
7,10,SEM,P263343,BV,Valor WP,Leather Brown,1.68,Rockport,NR,2959,220,1,,,,2959,WP,V,18-Mar,
8,10,GCM,P264027,C,Riptide galloper ,Black#7465,2.02,Timberland,NR,15000,800,4,,,,15000,WP,V,19-Mar,
9,10,GCM,P264049,C,Underground WP,Mocha#2603A,2.02,Timberland,NR/Retan,10871,170,1,,,,10871,WP,V,19-Mar,
10,11,PY5M,P264579,B/BV,Waterbuck WP,Wheat #00115,2.02,Timberland,CQC/Spray/2Vacc/3HangD/NR/9Retan/8RTR,50000,400,2,,,,-15.4,WP,V,19-Mar,
11,10,FTE,P263810,B/BV,Slippery WP,Archaeo Brown 2GN(FTE),1.46,Nike,CQC/Togg/Buff/NR/2Retan/RTR,38350,250,1,,,,38350,WP,T,21-Mar,
12,11,WHV,P264406,BR II,Pisa,Black,1.82,Dr. Martens,3STKD/Mill/STKF/HangD/Finiflex/NR,17227,240,,5,,,17227,NWP,V,25-Mar,
13,12,PAF,P264646,CV,Outback ISA RB,Sahara Tan MTS,1.82,Clarks UK,NR,4124,250.96,1,,,,4124,NWP,T,30-Mar,
14,12,XD1,P265396,C,AR Rogue,Cashew 17-1137tpg,1.46,WWW / Sperry M,NR,2750,110,,2,,,2750,NWP,V,1-Apr,
15,12,SEVH,P265074,BV,Naturebuck CH,Gray Pinstripe 19-0203TCX,1.46,Cole Haan,NR,1212,86.12,,2,,,1212,NWP,V,3-Apr,
16,13,THCV,P265984,BV,Mirage,Leather Brown,1.24,Deckers / Sanuk,NR,1280,112.4,,2,,,1280,NWP,T,5-Apr,
17,13,GCV1,P266019,CV,Aqua track,Red Brown,1.82,WWW / CAT,NR,1994,109.32,,2,,,1994,WP,V,6-Apr,
18,13,JMV,P266161,BV,Sierra Buck WP,Chocolate Brown 19-0912tpg,1.24,Deckers / Teva,NR,2627,105.08,,2,,,2627,WP,V,6-Apr,
19,13,WHV2,P265665,C,Snowplow WP,Cocoa,1.46,Dansko,NR,1450,114.52,,2,,,1423.8,WP,V,44293,
20,13,YCH,P265723,CV,Muddy River WP 83,wheat 16-0945tpx,1.82,Rocky,NR,1203,91,,2,,,1094.6,WP,T,44293,
21,13,WHV,P265048,CV,Seattle,Mahogany,1.82,Clarks UK,NR,4053,252.68,1,,,,4053,NWP,T,44294,
22,13,WHV,P265049,CV,Seattle,Black,1.82,Clarks UK,NR,7945,326.08,,7,,,7538.8,NWP,T,44294,
23,14,HOR,P265268,C,Chronicle,Black NB 1000018,1.24,New Balance,NR,900,69,,1,,,900,NWP,V,44294,
24,13,YFV,P266039,B,Waterbuck WP,Bone#2420,2.02,Timberland,NR,6385.7,371,2,,,,6385.7,WP,V,44296,
25,13,YFV,P266040,BV,Waterbuck WP,Dark Sapphire#3228A,2.02,Timberland,NR,15213.8,200,1,,,,7422.1,WP,V,44296,
26,14,PYV2,P267375,C,Everglade,Black #2242,2.02,Timberland,NR,26175,400,2,,,,26175,WP,V,44306,
27,14,PY5M,P267322,B,Waterbuck WP,Bone#2420,2.02,Timberland,NR,6062,120,1,,,,6062,WP,V,44309,
28,14,PY5M,P267324,B/BV,Waterbuck WP,Wheat #00115,1.68,Timberland,NR,25574,480,2,,,,25574,WP,V,44316,
29,15,MFC2,P269171,CV,Rough cut weather WP,Turkish Coffee#3115A,1.68,Timberland,NR,308,9.52,,,1,,238,WP,V,44319,
30,14,PY5M,P267335,BV,Waterbuck WP,40th Ruby#2131A,1.68,Timberland,NR,30641,480,2,,,,30641,WP,V,44323,
